,id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d,30d,platform_currency,first_priced_at
74,TUSD,TUSD,TUSD,TrueUSD,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/tusd.svg,active,0.87718489,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,1477731617,1477731617,1296243851,0.0007,123,796,60,2018-03-06T00:00:00Z,2018-03-06T00:00:00Z,2018-08-29T00:00:00Z,75,4,0.93832572,2020-03-20T00:00:00Z,"{'volume': '99664792.11', 'price_change': '0.00055541804', 'price_change_pct': '0.0006', 'volume_change': '-36860442.50', 'volume_change_pct': '-0.2700', 'market_cap_change': '4295630.22', 'market_cap_change_pct': '0.0033'}","{'volume': '2417784238.44', 'price_change': '0.0013871939', 'price_change_pct': '0.0016', 'volume_change': '-768984410.39', 'volume_change_pct': '-0.2413', 'market_cap_change': '56886403.21', 'market_cap_change_pct': '0.0459'}",ETH,
75,AMP2,AMP2,AMP,AMP Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AMP2.jpg,active,0.026343246,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,48013928909,99443409609,1264842754,0.0007,29,59,2,2015-11-04T00:00:00Z,2017-11-22T00:00:00Z,2018-09-12T00:00:00Z,76,2,0.089716518,2021-06-16T00:00:00Z,"{'volume': '10329219.87', 'price_change': '-0.00094866695', 'price_change_pct': '-0.0348', 'volume_change': '-2323131.61', 'volume_change_pct': '-0.1836', 'market_cap_change': '-45549227.35', 'market_cap_change_pct': '-0.0348'}","{'volume': '455083860.61', 'price_change': '-0.011095034', 'price_change_pct': '-0.2964', 'volume_change': '-264475100.70', 'volume_change_pct': '-0.3676', 'market_cap_change': '-532716166.08', 'market_cap_change_pct': '-0.2964'}",ETH,2020-12-08T16:40:31.111161Z
76,KDA,KDA,KDA,Kadena,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/KDA.png,active,7.36149587,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,167816066,1000000000,1235377277,0.0007,12,18,0,2019-12-17T00:00:00Z,2020-08-17T00:00:00Z,2020-01-07T00:00:00Z,77,-4,20.89556624,2021-11-11T00:00:00Z,"{'volume': '118338024.33', 'price_change': '-1.14831834', 'price_change_pct': '-0.1349', 'volume_change': '28273837.01', 'volume_change_pct': '0.3139', 'market_cap_change': '-192706266.73', 'market_cap_change_pct': '-0.1349'}","{'volume': '1301325353.48', 'price_change': '-1.53877560', 'price_change_pct': '-0.1729', 'volume_change': '-317523045.92', 'volume_change_pct': '-0.1961', 'market_cap_change': '-249442844.64', 'market_cap_change_pct': '-0.1680'}",,
77,CRV,CRV,CRV,Curve DAO Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CRV2.jpg,active,2.77482719,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,443277359,1687623892,1230018071,0.0007,118,413,32,2020-08-12T00:00:00Z,2020-08-12T00:00:00Z,2020-08-14T00:00:00Z,78,-1,9.50972214,2020-08-14T00:00:00Z,"{'volume': '330356548.70', 'price_change': '-0.19336751', 'price_change_pct': '-0.0651', 'volume_change': '87026857.08', 'volume_change_pct': '0.3576', 'market_cap_change': '-84197279.58', 'market_cap_change_pct': '-0.0641'}","{'volume': '14201819443.09', 'price_change': '-1.51924672', 'price_change_pct': '-0.3538', 'volume_change': '-7717029240.77', 'volume_change_pct': '-0.3521', 'market_cap_change': '-694062071.63', 'market_cap_change_pct': '-0.3607'}",ETH,
78,CEL,CEL,CEL,Celsius,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/cel.jpg,active,2.97251330,2022-02-11T00:00:00Z,2022-02-11T02:09:00Z,410730516,695658161,1220901922,0.0007,44,117,1,2018-04-24T00:00:00Z,2018-04-24T00:00:00Z,2019-06-12T00:00:00Z,79,3,6.57837434,2021-06-03T00:00:00Z,"{'volume': '6407890.56', 'price_change': '0.10881405', 'price_change_pct': '0.0380', 'volume_change': '2035972.33', 'volume_change_pct': '0.4657', 'market_cap_change': '44693252.60', 'market_cap_change_pct': '0.0380'}","{'volume': '170518943.34', 'price_change': '0.10568701', 'price_change_pct': '0.0369', 'volume_change': '6637998.32', 'volume_change_pct': '0.0405', 'market_cap_change': '43408880.24', 'market_cap_change_pct': '0.0369'}",ETH,
79,RUNE,RUNE,RUNE,Thorchain,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/RUNE.png,active,3.94411981,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,300750085,500000000,1186194368,0.0007,34,73,0,2019-07-20T00:00:00Z,2019-07-20T00:00:00Z,2019-07-26T00:00:00Z,80,0,16.74321430,2021-05-18T00:00:00Z,"{'volume': '123757403.91', 'price_change': '-0.24384113', 'price_change_pct': '-0.0582', 'volume_change': '43028045.65', 'volume_change_pct': '0.5330', 'market_cap_change': '-73335239.25', 'market_cap_change_pct': '-0.0582'}","{'volume': '3901882941.37', 'price_change': '-2.17094906', 'price_change_pct': '-0.3550', 'volume_change': '-700365460.38', 'volume_change_pct': '-0.1522', 'market_cap_change': '-646798045.82', 'market_cap_change_pct': '-0.3529'}",BNB,
80,BITTORRENT,BITTORRENT,BTT,BitTorrent V1 (OLD),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bittorrent.png,active,0.0012535085,2022-02-11T00:00:00Z,2022-02-11T02:09:00Z,932497500000,990000000000,1168893509,0.0007,101,244,2,2018-05-23T00:00:00Z,2018-05-23T00:00:00Z,2019-01-31T00:00:00Z,81,-19,0.25328565,2018-06-02T00:00:00Z,"{'volume': '342026.76', 'price_change': '-0.00096861883', 'price_change_pct': '-0.4359', 'volume_change': '19325.20', 'volume_change_pct': '0.0599', 'market_cap_change': '-903234636.78', 'market_cap_change_pct': '-0.4359'}","{'volume': '310987747.85', 'price_change': '-0.0010256144', 'price_change_pct': '-0.4500', 'volume_change': '-3231592385.97', 'volume_change_pct': '-0.9122', 'market_cap_change': '-956382902.22', 'market_cap_change_pct': '-0.4500'}",TRX,
81,BAT,BAT,BAT,Basic Attention Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bat.svg,active,0.77121421,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,1495079069,1500000000,1153026227,0.0006,206,690,12,2017-06-03T00:00:00Z,2017-10-01T00:00:00Z,2018-08-29T00:00:00Z,82,-1,1.55509053,2021-11-27T00:00:00Z,"{'volume': '86281453.15', 'price_change': '-0.045783447', 'price_change_pct': '-0.0560', 'volume_change': '18612329.20', 'volume_change_pct': '0.2750', 'market_cap_change': '-68254917.57', 'market_cap_change_pct': '-0.0559'}","{'volume': '2724488498.51', 'price_change': '-0.20883752', 'price_change_pct': '-0.2131', 'volume_change': '-3253180870.46', 'volume_change_pct': '-0.5442', 'market_cap_change': '-311175883.71', 'market_cap_change_pct': '-0.2125'}",ETH,
82,LRC,LRC,LRC,Loopring,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/LRC.jpg,active,0.88910760,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,1245991469,1373873440,1107820490,0.0006,122,481,5,2017-07-09T00:00:00Z,2017-09-01T00:00:00Z,2018-08-29T00:00:00Z,83,0,3.02458356,2021-11-24T00:00:00Z,"{'volume': '253080075.85', 'price_change': '-0.036916758', 'price_change_pct': '-0.0399', 'volume_change': '25296880.34', 'volume_change_pct': '0.1111', 'market_cap_change': '-45997966.06', 'market_cap_change_pct': '-0.0399'}","{'volume': '9608862669.17', 'price_change': '-0.54246291', 'price_change_pct': '-0.3789', 'volume_change': '2563658700.88', 'volume_change_pct': '0.3639', 'market_cap_change': '-675904164.13', 'market_cap_change_pct': '-0.3789'}",ETH,
83,CELO,CELO,CELO,Celo,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CELO.svg,active,2.73085264,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,387111233,1000000000,1057143734,0.0006,42,120,114,2020-05-15T00:00:00Z,2020-08-28T00:00:00Z,2020-05-21T00:00:00Z,84,0,6.48431865,2021-09-24T00:00:00Z,"{'volume': '87466572.73', 'price_change': '-0.21907278', 'price_change_pct': '-0.0743', 'volume_change': '17406213.49', 'volume_change_pct': '0.2484', 'market_cap_change': '-84805533.73', 'market_cap_change_pct': '-0.0743'}","{'volume': '2006526804.90', 'price_change': '-1.61362565', 'price_change_pct': '-0.3714', 'volume_change': '-288388856.23', 'volume_change_pct': '-0.1257', 'market_cap_change': '-538168225.39', 'market_cap_change_pct': '-0.3373'}",CELO,
84,CHZ,CHZ,CHZ,Chiliz,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CHZ.png,active,0.19480524,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,5344064580,8888888888,1041051761,0.0006,103,276,4,2019-06-29T00:00:00Z,2019-06-29T00:00:00Z,2019-07-17T00:00:00Z,85,1,0.59466248,2021-04-16T00:00:00Z,"{'volume': '242145622.12', 'price_change': '-0.016030090', 'price_change_pct': '-0.0760', 'volume_change': '29590078.27', 'volume_change_pct': '0.1392', 'market_cap_change': '-85665834.15', 'market_cap_change_pct': '-0.0760'}","{'volume': '4457340762.66', 'price_change': '-0.048609535', 'price_change_pct': '-0.1997', 'volume_change': '-121744794.69', 'volume_change_pct': '-0.0266', 'market_cap_change': '-259772495.48', 'market_cap_change_pct': '-0.1997'}",CHZ,
85,ROSE,ROSE,ROSE,Oasis Network,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ROSE.jpg,active,0.29716917,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,3490000000,10000000000,1037120419,0.0006,31,53,0,2020-02-20T00:00:00Z,2020-10-28T00:00:00Z,2020-04-22T00:00:00Z,86,-1,0.79735988,2020-09-01T00:00:00Z,"{'volume': '191434188.94', 'price_change': '-0.026305555', 'price_change_pct': '-0.0813', 'volume_change': '26498399.06', 'volume_change_pct': '0.1607', 'market_cap_change': '-91806385.52', 'market_cap_change_pct': '-0.0813'}","{'volume': '8949524973.62', 'price_change': '-0.15798715', 'price_change_pct': '-0.3471', 'volume_change': '2390626403.22', 'volume_change_pct': '0.3645', 'market_cap_change': '-551375170.50', 'market_cap_change_pct': '-0.3471'}",ETH,2020-11-11T07:10:09.100371Z
86,NEXO,NEXO,NEXO,Nexo,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/nexo.png,active,1.84656749,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,560000010,1000000000,1034077813,0.0006,49,106,0,2018-05-01T00:00:00Z,2018-05-01T00:00:00Z,2019-03-07T00:00:00Z,87,0,3.26676283,2021-05-03T00:00:00Z,"{'volume': '8842436.09', 'price_change': '-0.13655607', 'price_change_pct': '-0.0689', 'volume_change': '836938.61', 'volume_change_pct': '0.1045', 'market_cap_change': '-76471399.71', 'market_cap_change_pct': '-0.0689'}","{'volume': '241064837.67', 'price_change': '-0.19761278', 'price_change_pct': '-0.0967', 'volume_change': '-90864518.11', 'volume_change_pct': '-0.2737', 'market_cap_change': '-110663160.00', 'market_cap_change_pct': '-0.0967'}",ETH,
87,DASH,DASH,DASH,Dash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/dash.svg,active,97.11365803,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,10573185,18920000,1026800693,0.0006,201,906,180,2014-02-07T00:00:00Z,2014-02-07T00:00:00Z,2018-08-29T00:00:00Z,88,0,1217.92292707,2017-12-20T00:00:00Z,"{'volume': '196885677.27', 'price_change': '-2.18968653', 'price_change_pct': '-0.0221', 'volume_change': '14595978.21', 'volume_change_pct': '0.0801', 'market_cap_change': '-23010448.60', 'market_cap_change_pct': '-0.0219'}","{'volume': '5933248994.24', 'price_change': '-28.55019726', 'price_change_pct': '-0.2272', 'volume_change': '-1743129382.74', 'volume_change_pct': '-0.2271', 'market_cap_change': '-295739101.08', 'market_cap_change_pct': '-0.2236'}",,
88,HBTC,HBTC,HBTC,Huobi BTC (ERC-20),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HBTC.png,active,37971.81726909,2022-02-11T00:00:00Z,2022-02-11T02:08:00Z,25049,39884,951158755,0.0005,10,12,0,2020-08-27T00:00:00Z,2020-08-27T00:00:00Z,2020-09-28T00:00:00Z,89,3,58603.63862682,2021-11-08T00:00:00Z,"{'volume': '346390.55', 'price_change': '-590.39303287', 'price_change_pct': '-0.0153', 'volume_change': '76209.10', 'volume_change_pct': '0.2821', 'market_cap_change': '-14788797.12', 'market_cap_change_pct': '-0.0153'}","{'volume': '103129334.10', 'price_change': '-608.79518265', 'price_change_pct': '-0.0158', 'volume_change': '50626885.22', 'volume_change_pct': '0.9643', 'market_cap_change': '-55759396.95', 'market_cap_change_pct': '-0.0554'}",ETH,2020-12-20T19:05:46.698792Z
89,PAX,PAX,USDP,Pax Dollar,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/pax.png,active,0.87615566,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,1083929017,1083929017,949690545,0.0005,107,613,20,2018-09-27T00:00:00Z,2018-09-27T00:00:00Z,2018-09-29T00:00:00Z,90,3,0.93928620,2020-03-20T00:00:00Z,"{'volume': '10118895.45', 'price_change': '0.00014668798', 'price_change_pct': '0.0002', 'volume_change': '5480711.99', 'volume_change_pct': '1.1817', 'market_cap_change': '3068961.80', 'market_cap_change_pct': '0.0032'}","{'volume': '292263994.25', 'price_change': '0.00029914732', 'price_change_pct': '0.0003', 'volume_change': '-41130077.09', 'volume_change_pct': '-0.1234', 'market_cap_change': '33274515.18', 'market_cap_change_pct': '0.0363'}",ETH,
90,WAVES,WAVES,WAVES,Waves,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/WAVES.png,active,9.40578907,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,100000000,100000000,940578907,0.0005,86,1572,6160,2016-06-20T00:00:00Z,2016-11-15T00:00:00Z,2018-08-29T00:00:00Z,91,-2,29.88579778,2021-05-05T00:00:00Z,"{'volume': '216643292.32', 'price_change': '-0.67121544', 'price_change_pct': '-0.0666', 'volume_change': '-133336613.12', 'volume_change_pct': '-0.3810', 'market_cap_change': '-67121544.01', 'market_cap_change_pct': '-0.0666'}","{'volume': '4532036931.57', 'price_change': '-3.50625136', 'price_change_pct': '-0.2715', 'volume_change': '1252866780.14', 'volume_change_pct': '0.3821', 'market_cap_change': '-350625135.63', 'market_cap_change_pct': '-0.2715'}",WAVES,
91,SNX,SNX,SNX,Synthetix Network Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SNX.png,active,4.57524097,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,202032073,242519075,924345416,0.0005,134,1059,18,2018-03-15T00:00:00Z,2018-03-15T00:00:00Z,2019-05-15T00:00:00Z,92,-2,22.38926616,2021-02-12T00:00:00Z,"{'volume': '66061081.65', 'price_change': '-0.37219959', 'price_change_pct': '-0.0752', 'volume_change': '15568661.45', 'volume_change_pct': '0.3083', 'market_cap_change': '-74117388.18', 'market_cap_change_pct': '-0.0742'}","{'volume': '2237165707.20', 'price_change': '-0.18048173', 'price_change_pct': '-0.0380', 'volume_change': '-999178651.76', 'volume_change_pct': '-0.3087', 'market_cap_change': '-22514043.41', 'market_cap_change_pct': '-0.0238'}",ETH,
92,IOTX,IOTX,IOTX,IoTeX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/IOTX.jpg,active,0.097006698,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,9490829322,9496266827,920674014,0.0005,43,98,111,2018-05-24T00:00:00Z,2018-05-24T00:00:00Z,2018-08-29T00:00:00Z,93,5,0.21529701,2021-11-10T00:00:00Z,"{'volume': '205309703.19', 'price_change': '0.0039427615', 'price_change_pct': '0.0424', 'volume_change': '-126769174.63', 'volume_change_pct': '-0.3817', 'market_cap_change': '37420076.10', 'market_cap_change_pct': '0.0424'}","{'volume': '4098457440.27', 'price_change': '0.0028679407', 'price_change_pct': '0.0305', 'volume_change': '-147582768.35', 'volume_change_pct': '-0.0348', 'market_cap_change': '27219135.75', 'market_cap_change_pct': '0.0305'}",IOTX,
93,SUSHI,SUSHI,SUSHI,Sushi,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SUSHI.jpg,active,3.84994328,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,238894782,240117869,919731361,0.0005,142,510,56,2019-06-03T00:00:00Z,2020-08-28T00:00:00Z,2020-08-28T00:00:00Z,94,-3,19.05548995,2021-03-13T00:00:00Z,"{'volume': '211831372.50', 'price_change': '-0.30311359', 'price_change_pct': '-0.0730', 'volume_change': '56221268.16', 'volume_change_pct': '0.3613', 'market_cap_change': '-72359539.55', 'market_cap_change_pct': '-0.0729'}","{'volume': '7010089069.58', 'price_change': '-2.36980063', 'price_change_pct': '-0.3810', 'volume_change': '-9154613009.05', 'volume_change_pct': '-0.5663', 'market_cap_change': '-561606195.37', 'market_cap_change_pct': '-0.3791'}",ETH,
94,GT,GT,GT,Gatechain Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/GT.png,active,6.05511811,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,151758802,300000000,918917468,0.0005,23,55,0,2019-04-21T00:00:00Z,2019-04-21T00:00:00Z,2019-06-04T00:00:00Z,95,1,9.28589455,2021-05-12T00:00:00Z,"{'volume': '4578680.97', 'price_change': '-0.041199983', 'price_change_pct': '-0.0068', 'volume_change': '-978174.92', 'volume_change_pct': '-0.1760', 'market_cap_change': '-6252460.01', 'market_cap_change_pct': '-0.0068'}","{'volume': '170978080.90', 'price_change': '0.041840668', 'price_change_pct': '0.0070', 'volume_change': '15678164.80', 'volume_change_pct': '0.1010', 'market_cap_change': '-26095469.28', 'market_cap_change_pct': '-0.0276'}",ETH,
95,MINA,MINA,MINA,Mina Protocol,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/MINA.png,active,2.38706691,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,374145973,892306973,893111470,0.0005,27,43,0,2021-04-13T00:00:00Z,2021-04-13T00:00:00Z,2021-04-15T00:00:00Z,96,-2,45.88624230,2021-05-30T00:00:00Z,"{'volume': '41980191.34', 'price_change': '-0.13547677', 'price_change_pct': '-0.0537', 'volume_change': '14495819.71', 'volume_change_pct': '0.5274', 'market_cap_change': '-48827518.50', 'market_cap_change_pct': '-0.0518'}","{'volume': '1337961195.85', 'price_change': '-0.76577560', 'price_change_pct': '-0.2429', 'volume_change': '-215929760.94', 'volume_change_pct': '-0.1390', 'market_cap_change': '-199863385.92', 'market_cap_change_pct': '-0.1829'}",,2021-04-14T14:25:23.039277Z
96,XEM,XEM,XEM,NEM,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xem.svg,active,0.099004095,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,8999999999,8999999999,891036853,0.0005,90,212,1,2015-03-31T00:00:00Z,2015-03-31T00:00:00Z,2018-08-29T00:00:00Z,97,-2,1.50484282,2018-01-07T00:00:00Z,"{'volume': '30221637.96', 'price_change': '-0.0041542213', 'price_change_pct': '-0.0403', 'volume_change': '3359465.20', 'volume_change_pct': '0.1251', 'market_cap_change': '-37387992.03', 'market_cap_change_pct': '-0.0403'}","{'volume': '854525834.73', 'price_change': '-0.0050716974', 'price_change_pct': '-0.0487', 'volume_change': '-1824987290.08', 'volume_change_pct': '-0.6811', 'market_cap_change': '-45645276.94', 'market_cap_change_pct': '-0.0487'}",,
97,HOT,HOT,HOT,Holo,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/hot.png,active,0.0047768784,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,177619433541,177619433541,848466434,0.0005,88,247,0,2018-04-29T00:00:00Z,2018-04-29T00:00:00Z,2018-08-29T00:00:00Z,98,1,0.024381324,2021-04-05T00:00:00Z,"{'volume': '83958505.25', 'price_change': '-0.00012614584', 'price_change_pct': '-0.0257', 'volume_change': '2108231.83', 'volume_change_pct': '0.0258', 'market_cap_change': '-22405952.35', 'market_cap_change_pct': '-0.0257'}","{'volume': '1911184503.51', 'price_change': '-0.00095535895', 'price_change_pct': '-0.1667', 'volume_change': '-1215832214.94', 'volume_change_pct': '-0.3888', 'market_cap_change': '-169690316.28', 'market_cap_change_pct': '-0.1667'}",ETH,
98,DCR,DCR,DCR,Decred,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/dcr.svg,active,60.24148743,2022-02-11T00:00:00Z,2022-02-11T02:09:00Z,13755681,21000000,828662663,0.0005,53,120,0,2016-02-09T00:00:00Z,2016-05-16T00:00:00Z,2018-09-12T00:00:00Z,99,2,205.56378000,2021-04-16T00:00:00Z,"{'volume': '4697862.37', 'price_change': '0.54425495', 'price_change_pct': '0.0091', 'volume_change': '-169338.54', 'volume_change_pct': '-0.0348', 'market_cap_change': '7651095.76', 'market_cap_change_pct': '0.0093'}","{'volume': '247138398.32', 'price_change': '5.72975868', 'price_change_pct': '0.1051', 'volume_change': '-22657829.45', 'volume_change_pct': '-0.0840', 'market_cap_change': '83579051.18', 'market_cap_change_pct': '0.1122'}",,
99,LN,LN,LN,LINK,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/LN.png,active,129.58214158,2022-02-11T00:00:00Z,2022-02-11T02:09:00Z,5976022,6045959,774385710,0.0004,1,2,0,2020-03-27T00:00:00Z,,2020-03-27T00:00:00Z,100,2,278.79163202,2021-04-01T00:00:00Z,"{'volume': '405829.38', 'price_change': '-4.86772352', 'price_change_pct': '-0.0362', 'volume_change': '117222.64', 'volume_change_pct': '0.4062', 'market_cap_change': '-29089412.17', 'market_cap_change_pct': '-0.0362'}","{'volume': '11661414.75', 'price_change': '3.29629103', 'price_change_pct': '0.0261', 'volume_change': '-6837474.22', 'volume_change_pct': '-0.3696', 'market_cap_change': '19699135.23', 'market_cap_change_pct': '0.0261'}",,
